page	line	cell	char	area	sw	sw90	emax	width	area_ratio	sw_ratio	bold	n_same	x	y
78	1	0	W	111	2.87	4.00	6.00	9	1.000	1.000	0	1	558	587
78	1	9	e	297	5.74	10.00	14.00	20	0.622	1.612	1	98	567	587
78	1	29	'	55	4.46	8.00	10.00	9	0.199	0.800	0	3	587	587
78	1	38	v	627	5.59	10.00	13.42	34	1.484	1.342	1	17	596	587
78	1	72	e	452	3.73	7.21	10.00	33	0.947	1.163	0	98	630	587
78	1	131	n	779	5.23	8.49	12.65	37	1.760	1.308	1	61	689	587
78	1	168	e	415	3.61	7.21	8.94	37	0.869	1.163	0	98	726	587
78	1	205	v	660	5.33	8.94	12.65	41	1.562	1.200	1	17	763	587
78	1	246	e	437	3.49	6.00	8.25	36	0.915	0.967	0	98	804	587
78	1	282	r	658	5.42	8.94	12.17	37	1.688	1.446	1	47	840	587
78	1	343	h	858	4.88	8.00	12.00	45	1.866	1.468	1	31	901	587
78	1	388	a	726	4.63	8.00	10.20	39	1.472	1.397	1	46	946	587
78	1	427	d	789	4.77	8.00	12.00	39	1.530	1.456	1	18	985	587
78	1	490	a	742	4.77	8.00	11.66	37	1.505	1.397	1	46	1048	587
78	1	527	n	751	5.12	8.49	12.65	39	1.697	1.308	1	61	1085	587
78	1	591	e	429	3.55	6.32	8.94	36	0.899	1.020	0	98	1149	587
78	1	627	c	626	4.98	8.25	10.00	37	1.289	1.125	1	31	1185	587
78	1	664	o	604	4.66	8.00	8.94	38	13.282	1.358	1	61	1222	587
78	1	702	n	733	5.06	8.49	12.81	40	1.656	1.308	1	61	1260	587
78	1	742	o	594	4.60	7.21	10.00	36	13.062	1.224	1	61	1300	587
78	1	778	m	937	4.90	8.00	11.66	46	1.105	1.223	1	18	1336	587
78	1	824	y	782	5.14	8.49	12.81	42	1.327	1.356	1	19	1382	587
78	1	891	a	733	4.71	8.00	10.77	37	1.487	1.397	1	46	1449	587
78	1	928	n	738	5.02	8.25	12.00	41	1.667	1.271	1	61	1486	587
78	1	969	d	790	4.79	8.00	12.00	39	1.532	1.456	1	18	1527	587
78	1	1032	a	716	4.62	8.00	10.20	36	1.452	1.397	1	46	1590	587
78	1	1092	m	917	4.81	8.00	11.66	46	1.082	1.223	1	18	1650	587
78	1	1138	o	588	4.54	7.21	8.94	36	12.930	1.224	1	61	1696	587
78	1	1174	n	739	5.17	8.49	12.00	41	1.670	1.308	1	61	1732	587
78	1	1215	e	434	3.57	6.32	8.49	38	0.909	1.020	0	98	1773	587
78	1	1253	y	778	5.09	8.49	12.81	39	1.321	1.356	1	19	1811	587
78	2	0	t	93	2.78	4.47	6.32	12	0.281	0.779	0	64	558	698
78	2	12	h	742	4.67	8.00	11.31	37	1.614	1.468	1	31	570	698
78	2	49	a	483	5.40	8.49	14.14	21	0.980	1.481	1	46	607	698
78	2	70	t	132	3.94	6.32	8.00	10	0.399	1.102	0	64	628	698
78	2	104	i	585	5.02	8.25	11.66	31	9.886	1.371	1	63	662	698
78	2	135	n	766	5.18	8.49	12.17	42	1.731	1.308	1	61	693	698
78	2	177	c	623	4.88	8.00	10.00	37	1.283	1.092	0	31	735	698
78	2	214	e	441	3.58	6.32	10.00	37	0.924	1.020	0	98	772	698
78	2	251	n	775	5.25	8.49	12.81	40	1.751	1.308	1	61	809	698
78	2	291	t	633	5.13	8.25	14.14	35	1.914	1.437	1	64	849	698
78	2	326	i	573	5.17	8.25	11.31	27	9.683	1.371	1	63	884	698
78	2	353	v	696	5.43	9.47	13.42	41	1.647	1.271	1	17	911	698
78	2	394	i	594	5.03	8.25	11.31	33	10.038	1.371	1	63	952	698
78	2	427	z	820	6.26	10.20	16.00	35	0.950	1.000	0	2	985	698
78	2	462	e	421	3.55	6.32	8.49	37	0.882	1.020	0	98	1020	698
78	2	499	s	771	5.23	8.49	10.77	34	1.352	1.378	1	43	1057	698
78	2	557	l	616	4.99	8.00	12.00	32	1.182	1.068	0	26	1115	698
78	2	589	o	600	4.64	8.00	8.94	35	13.194	1.358	1	61	1147	698
78	2	624	v	667	5.48	8.94	13.42	41	1.579	1.200	1	17	1182	698
78	2	665	e	428	3.49	6.32	8.25	33	0.896	1.020	0	98	1223	698
78	2	720	b	770	4.83	8.00	11.31	40	1.169	1.191	1	11	1278	698
78	2	760	e	435	3.54	6.32	8.49	37	0.911	1.020	0	98	1318	698
78	2	797	f	670	4.94	8.25	12.81	33	1.144	1.391	1	19	1355	698
78	2	830	o	619	4.56	7.21	8.94	36	13.612	1.224	1	61	1388	698
78	2	866	r	630	5.37	8.94	12.17	37	1.616	1.446	1	47	1424	698
78	2	903	e	427	3.55	6.32	8.49	36	0.894	1.020	0	98	1461	698
78	2	964	u	748	5.20	8.25	12.65	42	1.373	1.374	1	12	1522	698
78	2	1006	n	732	5.04	8.46	12.00	41	1.654	1.305	1	61	1564	698
78	2	1047	t	595	4.94	8.00	12.81	34	1.799	1.394	1	64	1605	698
78	2	1081	i	557	4.88	8.00	11.31	32	9.413	1.330	1	63	1639	698
78	2	1113	l	582	4.86	8.00	11.31	34	1.117	1.068	0	26	1671	698
78	2	1169	b	732	4.67	8.00	10.77	37	1.112	1.191	1	11	1727	698
