page	line	cell	char	area	sw	sw90	emax	width	area_ratio	sw_ratio	bold	n_same	x	y
77	1	79	M	774	4.22	7.21	12.65	46	1.000	1.000	0	3	516	572
77	1	125	e	664	4.42	7.21	11.31	39	12.687	1.150	1	42	562	572
77	1	164	a	670	4.22	7.21	10.00	44	1.062	1.168	1	42	601	572
77	1	208	n	605	4.46	8.00	12.00	42	1.092	1.170	1	34	645	572
77	1	250	w	731	4.56	8.00	12.65	45	365.500	2.675	1	9	687	572
77	1	295	h	645	3.98	6.32	10.00	44	6.728	1.065	0	22	732	572
77	1	339	i	471	4.24	7.21	10.00	35	17.081	1.256	1	40	776	572
77	1	374	l	565	4.54	8.00	10.00	35	1.345	1.296	1	23	811	572
77	1	409	e	662	4.40	7.21	11.66	36	12.649	1.150	1	42	846	572
77	1	445	,	314	5.74	10.77	15.23	21	34.889	2.290	1	16	882	572
77	1	490	b	733	4.38	7.21	10.77	39	1.000	1.000	0	3	927	572
77	1	529	a	670	4.19	7.21	10.00	43	1.062	1.168	1	42	966	572
77	1	572	c	545	4.19	6.32	8.94	39	3.188	1.042	0	16	1009	572
77	1	611	k	862	4.76	8.00	11.31	40	23.297	1.789	1	6	1048	572
77	1	678	i	473	4.31	7.21	11.31	30	17.153	1.256	1	40	1115	572
77	1	708	n	598	4.54	8.00	11.66	39	1.079	1.170	1	34	1145	572
77	1	772	E	615	3.87	6.32	10.00	42	1.007	1.027	0	6	1209	572
77	1	814	l	565	4.61	8.00	10.00	37	1.345	1.296	1	23	1251	572
77	1	876	S	696	4.55	8.00	12.00	39	1.319	1.081	0	7	1313	572
77	1	915	a	634	4.29	7.21	10.00	43	1.005	1.168	1	42	1352	572
77	1	958	l	549	4.69	8.00	10.77	29	1.307	1.296	1	23	1395	572
77	1	987	v	569	4.73	8.00	12.65	39	1.037	1.109	0	4	1424	572
77	1	1026	a	646	4.20	7.21	10.00	41	1.024	1.168	1	42	1463	572
77	1	1067	d	631	4.10	6.32	10.20	39	13.717	1.002	0	19	1504	572
77	1	1106	o	624	4.37	7.21	8.94	37	7.853	1.204	1	38	1543	572
77	1	1143	r	452	4.58	8.00	10.77	27	13.162	1.335	1	32	1580	572
77	1	1170	,	415	5.55	10.00	15.23	24	46.111	2.126	1	16	1607	572
77	1	1220	4	809	5.11	8.49	12.81	39	1.000	1.000	0	1	1657	572
77	1	1259	2	719	4.07	7.21	10.77	41	1.000	1.000	0	3	1696	572
77	1	1300	%	726	3.69	6.00	8.94	44	1.000	1.000	0	1	1737	572
77	1	1367	o	614	4.34	7.21	10.00	35	7.727	1.204	1	38	1804	572
77	1	1402	f	619	4.43	7.21	11.31	36	1.255	1.160	1	13	1839	572
77	1	1463	t	484	4.42	7.21	12.81	31	32.267	1.214	1	41	1900	572
77	1	1494	h	658	4.03	7.21	10.00	44	6.864	1.214	1	22	1931	572
77	1	1538	e	653	4.48	7.21	11.66	35	12.477	1.150	1	42	1975	572
77	1	1599	c	538	4.18	6.32	8.25	33	3.147	1.042	0	16	2036	572
77	1	1632	o	618	4.42	7.21	10.00	39	7.777	1.204	1	38	2069	572
77	1	1671	u	691	4.52	8.00	10.77	43	1.553	1.292	1	12	2108	572
77	1	1714	n	609	4.55	8.00	12.17	43	1.099	1.170	1	34	2151	572
77	1	1757	t	524	4.47	7.21	11.31	33	34.933	1.214	1	41	2194	572
77	1	1790	r	566	4.70	8.00	10.20	37	16.482	1.335	1	32	2227	572
77	1	1827	y	763	4.72	8.00	12.81	42	2.149	1.333	1	13	2264	572
77	2	79	i	460	4.22	7.21	10.00	32	16.682	1.256	1	40	516	682
77	2	111	s	736	4.68	8.00	11.31	33	54.259	1.490	1	29	548	682
77	2	170	n	595	4.47	8.00	12.65	40	1.074	1.170	1	34	607	682
77	2	210	o	594	4.26	7.21	8.94	38	7.475	1.204	1	38	647	682
77	2	248	w	724	4.48	8.00	11.66	45	362.000	2.675	1	9	685	682
77	2	317	h	1166	5.90	10.00	15.23	47	12.163	1.684	1	22	754	682
77	2	364	y	1093	6.29	10.77	16.00	46	3.078	1.795	1	13	801	682
77	2	410	p	1203	6.10	10.00	14.42	46	2.265	1.649	1	11	847	682
77	2	456	e	550	4.23	8.25	11.31	42	10.509	1.315	1	42	893	682
77	2	498	r	871	6.43	11.31	15.62	43	25.363	1.887	1	32	935	682
77	2	541	b	1032	5.78	10.00	14.00	42	1.408	1.387	1	3	978	682
77	2	583	i	791	6.01	10.00	14.14	36	28.685	1.741	1	40	1020	682
77	2	619	t	803	6.01	10.00	15.62	35	53.533	1.684	1	41	1056	682
77	2	654	c	854	5.88	10.00	12.65	41	4.996	1.647	1	16	1091	682
77	2	695	o	845	5.64	10.00	11.31	39	10.634	1.670	1	38	1132	682
77	2	734	i	791	6.03	10.00	14.00	36	28.685	1.741	1	40	1171	682
77	2	770	n	1024	6.24	10.60	15.62	46	1.848	1.550	1	34	1207	682
77	2	816	i	790	6.11	10.00	14.14	35	28.649	1.741	1	40	1253	682
77	2	851	z	739	5.77	12.00	16.00	42	1.000	1.000	0	1	1288	682
77	2	893	e	560	4.23	8.25	11.31	40	10.700	1.315	1	42	1330	682
77	2	933	d	1106	5.93	10.00	14.42	43	24.043	1.584	1	19	1370	682
77	2	1000	(	462	4.51	8.00	8.94	17	1.015	1.000	0	4	1437	682
77	2	1017	a	609	4.20	7.21	10.00	40	0.965	1.168	1	42	1454	682
77	2	1057	t	491	4.53	8.00	12.81	30	32.733	1.347	1	41	1494	682
77	2	1112	t	528	4.58	8.00	11.66	31	35.200	1.347	1	41	1549	682
77	2	1143	h	630	3.87	6.32	10.00	44	6.572	1.065	0	22	1580	682
77	2	1187	e	662	4.58	8.00	11.66	36	12.649	1.275	1	42	1624	682
77	2	1248	t	510	4.41	7.21	11.66	32	34.000	1.214	1	41	1685	682
77	2	1280	i	447	4.20	7.21	10.00	32	16.210	1.256	1	40	1717	682
77	2	1312	m	851	4.44	7.21	11.66	48	2.312	1.050	0	12	1749	682
77	2	1360	e	638	4.38	7.21	11.66	35	12.191	1.150	1	42	1797	682
77	2	1419	o	582	4.20	6.32	8.49	36	7.324	1.056	0	38	1856	682
77	2	1455	f	610	4.49	7.21	11.31	36	1.237	1.160	1	13	1892	682
77	2	1513	w	731	4.61	8.00	12.65	47	365.500	2.675	1	9	1950	682
77	2	1560	r	521	4.49	7.21	10.00	37	15.171	1.203	1	32	1997	682
77	2	1597	i	451	4.17	7.21	10.00	29	16.355	1.256	1	40	2034	682
77	2	1626	t	495	4.45	7.21	11.31	32	33.000	1.214	1	41	2063	682
77	2	1658	i	436	4.24	7.21	10.00	32	15.811	1.256	1	40	2095	682
77	2	1690	n	591	4.48	8.00	12.00	41	1.066	1.170	1	34	2127	682
77	2	1731	g	784	3.95	6.32	10.00	43	3.564	1.030	0	11	2168	682
77	2	1774	)	426	4.02	6.32	8.25	20	0.773	0.801	0	2	2211	682
77	2	1794	.	203	6.02	11.31	15.23	19	0.890	1.084	0	4	2231	682
77	3	77	J	566	4.29	7.21	11.66	34	1.000	1.000	0	1	514	790
77	3	111	a	665	3.97	6.32	8.94	43	1.054	1.024	0	42	548	790
77	3	154	c	526	4.06	6.32	8.49	35	3.077	1.042	0	16	591	790
77	3	189	k	836	4.68	8.00	10.77	41	22.595	1.789	1	6	626	790
77	3	258	M	727	4.13	7.21	10.77	49	0.939	1.000	0	3	695	790
77	3	307	a	659	4.04	6.32	8.94	44	1.044	1.024	0	42	744	790
77	3	351	l	843	6.05	10.00	14.14	39	2.007	1.620	1	23	788	790
77	3	390	l	834	6.01	10.00	14.00	39	1.986	1.620	1	23	827	790
77	3	429	e	565	4.31	8.25	12.00	38	10.796	1.315	1	42	866	790
77	3	467	r	556	4.63	8.00	10.20	38	16.190	1.335	1	32	904	790
77	3	505	s	739	4.60	8.00	11.31	37	54.480	1.490	1	29	942	790
77	3	542	'	263	5.40	10.00	13.42	18	1.000	1.000	0	3	979	790
77	3	585	S	668	4.56	8.00	11.31	39	1.266	1.081	0	7	1022	790
77	3	624	t	503	4.46	7.21	11.31	34	33.533	1.214	1	41	1061	790
77	3	658	r	552	4.60	8.00	10.00	39	16.074	1.335	1	32	1095	790
