page	line	cell	char	area	sw	sw90	emax	width	area_ratio	sw_ratio	bold	n_same	x	y
75	2	385	H	877	4.02	6.32	10.00	49	1.000	1.000	0	1	493	813
75	2	434	e	680	4.09	6.32	11.31	39	1.275	1.052	0	117	542	813
75	2	473	r	573	4.28	7.21	10.00	42	1.303	1.183	0	53	581	813
75	2	515	e	661	4.08	6.32	11.31	39	1.239	1.052	0	117	623	813
75	2	554	'	246	5.10	8.94	13.42	27	15.375	1.266	0	7	662	813
75	2	581	s	739	4.35	7.21	10.20	35	1.260	1.141	0	75	689	813
75	2	644	t	529	3.96	6.00	10.77	37	1.220	1.000	0	107	752	813
75	2	681	h	688	3.73	6.00	10.00	51	1.221	1.041	0	58	789	813
75	2	732	e	664	4.12	6.32	11.31	37	1.245	1.052	0	117	840	813
75	2	797	b	673	3.83	6.00	10.00	40	1.167	1.012	0	22	905	813
75	2	837	i	436	3.72	6.00	8.49	36	1.172	1.001	0	100	945	813
75	2	873	t	495	3.87	6.00	11.31	34	1.142	1.000	0	107	981	813
75	2	907	t	505	3.85	6.00	11.31	37	1.165	1.000	0	107	1015	813
75	2	944	e	648	3.99	6.00	10.00	40	1.215	0.998	0	117	1052	813
75	2	984	r	530	3.99	6.32	8.94	41	1.205	1.038	0	53	1092	813
75	2	1051	t	505	3.86	6.00	10.00	38	1.165	1.000	0	107	1159	813
75	2	1089	r	537	4.15	7.21	10.00	40	1.221	1.183	0	53	1197	813
75	2	1129	u	654	4.08	6.23	10.20	47	1.183	1.036	0	27	1237	813
75	2	1176	t	501	3.82	6.00	11.31	38	1.155	1.000	0	107	1284	813
75	2	1214	h	638	3.53	6.00	8.94	48	1.132	1.041	0	58	1322	813
75	2	1262	.	200	6.06	11.35	15.23	24	1.122	1.208	1	21	1370	813
75	2	1317	B	651	3.45	6.00	10.00	47	1.102	1.030	0	9	1425	813
75	2	1364	i	423	3.72	6.00	8.49	32	1.137	1.001	0	100	1472	813
75	2	1396	t	496	3.79	6.00	10.00	36	1.144	1.000	0	107	1504	813
75	2	1432	c	495	3.65	5.66	8.00	39	1.138	0.985	0	42	1540	813
75	2	1471	o	560	3.78	6.00	8.00	40	1.163	1.016	0	81	1579	813
75	2	1511	i	421	3.71	6.00	8.49	37	1.132	1.001	0	100	1619	813
75	2	1548	n	574	3.94	6.32	10.20	44	1.151	1.005	0	75	1656	813
75	2	1621	w	704	4.08	7.21	12.00	49	1.154	1.125	0	15	1729	813
75	2	1670	a	640	3.60	6.00	8.49	43	1.127	1.037	0	81	1778	813
75	2	1713	s	707	4.24	7.21	10.00	40	1.206	1.141	0	75	1821	813
75	2	1782	n	574	3.92	6.32	10.77	42	1.151	1.005	0	75	1890	813
75	2	1824	o	560	3.76	6.00	7.21	40	1.163	1.016	0	81	1932	813
75	2	1864	t	505	3.88	6.00	11.31	38	1.165	1.000	0	107	1972	813
75	2	1929	a	649	3.62	6.00	8.49	42	1.143	1.037	0	81	2037	813
75	2	1998	r	522	3.98	6.32	10.00	38	1.187	1.038	0	53	2106	813
75	2	2036	e	637	3.91	6.00	10.00	39	1.194	0.998	0	117	2144	813
75	2	2075	a	628	3.58	6.00	8.25	46	1.106	1.037	0	81	2183	813
75	2	2121	c	505	3.68	6.00	8.00	41	1.161	1.045	0	42	2229	813
75	2	2162	t	494	3.86	6.00	10.00	39	1.139	1.000	0	107	2270	813
75	2	2201	i	420	3.69	6.00	8.49	37	1.129	1.001	0	100	2309	813
75	2	2238	o	564	3.79	6.00	8.00	38	1.171	1.016	0	81	2346	813
75	2	2276	n	596	4.04	7.21	11.66	45	1.195	1.146	0	75	2384	813
75	3	382	t	552	4.11	6.32	11.31	35	1.273	1.054	0	107	490	925
75	3	417	o	597	3.97	6.00	8.25	41	1.240	1.016	0	81	525	925
75	3	484	t	537	4.05	6.32	11.31	36	1.238	1.054	0	107	592	925
75	3	520	h	656	3.59	6.00	10.00	50	1.164	1.041	0	58	628	925
75	3	570	e	659	4.08	6.32	11.66	38	1.236	1.052	0	117	678	925
75	3	638	G	631	3.54	5.66	8.49	40	0.662	0.775	0	2	746	925
75	3	678	l	568	4.11	6.32	8.94	36	1.392	1.065	0	43	786	925
75	3	714	o	590	3.92	6.00	8.00	39	1.225	1.016	0	81	822	925
75	3	753	b	673	3.81	6.00	10.00	45	1.167	1.012	0	22	861	925
75	3	798	a	643	3.66	6.00	8.25	47	1.133	1.037	0	81	906	925
75	3	845	l	536	3.93	6.00	8.49	38	1.313	1.010	0	43	953	925
75	3	912	F	664	3.61	6.00	8.49	44	1.000	1.000	0	1	1020	925
75	3	956	i	436	3.71	6.00	8.49	41	1.172	1.001	0	100	1064	925
75	3	997	n	562	3.92	6.32	10.77	46	1.127	1.005	0	75	1105	925
75	3	1043	a	632	3.57	6.00	8.49	45	1.113	1.037	0	81	1151	925
75	3	1088	n	582	3.96	6.32	10.77	46	1.167	1.005	0	75	1196	925
75	3	1134	c	501	3.70	6.00	8.00	41	1.152	1.045	0	42	1242	925
75	3	1175	i	434	3.72	6.00	8.94	39	1.167	1.001	0	100	1283	925
