page	line	cell	char	area	sw	sw90	emax	width	area_ratio	sw_ratio	bold	n_same	x	y
79	1	494	T	1097	3.71	6.00	10.00	76	1.000	1.000	0	1	866	2601
79	1	570	o	790	4.29	7.21	13.42	58	158.000	1.338	1	14	942	2601
79	1	654	w	451	3.83	6.00	10.00	26	1.000	1.000	0	3	1026	2601
79	1	680	r	261	3.53	5.66	7.21	18	2.742	0.965	0	7	1052	2601
79	1	698	a	273	3.76	6.00	8.00	21	1.555	1.092	0	10	1070	2601
79	1	719	p	446	3.92	6.32	8.49	35	1.000	1.000	0	1	1091	2601
79	1	779	t	578	3.91	6.32	8.94	35	1.219	0.891	0	14	1151	2601
79	1	814	h	466	3.64	6.00	8.00	40	0.945	0.949	0	5	1186	2601
79	1	854	i	684	3.78	6.00	8.94	51	1.749	1.009	0	12	1226	2601
79	1	905	s	754	4.12	7.21	12.81	52	1.432	1.065	0	7	1277	2601
79	2	771	t	815	3.56	5.66	8.94	63	1.719	0.797	0	14	1143	2709
79	2	834	o	748	3.59	6.00	10.20	58	149.600	1.113	0	14	1206	2709
79	2	1361	e	432	3.77	6.00	8.49	34	1.339	0.984	0	20	1733	2709
79	2	1395	c	441	3.55	5.66	8.00	33	0.979	0.958	0	7	1767	2709
79	2	1428	o	5	2.00	2.00	2.00	6	1.000	0.371	0	14	1800	2709
79	2	1434	n	465	3.65	6.00	8.00	35	1.032	1.001	0	12	1806	2709
79	2	1475	m	235	3.95	6.32	8.25	12	1.000	1.000	0	3	1847	2709
79	2	1487	y	194	3.43	5.66	8.00	14	0.397	0.894	0	3	1859	2709
79	2	1501	,	266	4.04	6.16	10.00	18	1.000	1.000	0	1	1873	2709
79	2	1545	t	362	3.56	6.00	8.00	29	0.763	0.845	0	14	1917	2709
79	2	1574	h	246	3.64	6.00	10.00	20	0.499	0.949	0	5	1946	2709
79	2	1594	e	230	3.78	6.32	10.00	18	0.713	1.037	0	20	1966	2709
79	2	1639	e	416	3.79	6.32	10.00	35	1.289	1.037	0	20	2011	2709
79	2	1674	f	38	3.55	6.00	6.32	12	0.153	0.949	0	5	2046	2709
79	2	1686	f	249	3.92	6.32	8.25	16	1.000	1.000	0	5	2058	2709
79	2	1702	i	442	3.76	6.00	10.00	35	1.130	1.009	0	12	2074	2709
79	2	1737	c	567	3.95	6.32	10.00	34	1.259	1.071	0	7	2109	2709
79	2	1771	i	402	3.60	5.66	10.00	35	1.028	0.952	0	12	2143	2709
79	2	1806	e	501	3.64	6.00	10.00	36	1.552	0.984	0	20	2178	2709
79	2	1842	n	414	3.71	6.00	8.00	38	0.919	1.001	0	12	2214	2709
79	2	1880	c	481	3.35	5.66	8.25	39	1.068	0.958	0	7	2252	2709
79	2	1919	i	520	3.38	5.66	8.00	41	1.330	0.952	0	12	2291	2709
79	2	1960	e	253	3.98	6.32	8.94	20	0.784	1.037	0	20	2332	2709
79	2	1980	s	418	3.73	6.00	10.00	28	0.794	0.886	0	7	2352	2709
79	3	626	o	1771	4.07	6.32	11.66	108	354.200	1.173	0	14	998	3216
79	3	734	f	1810	4.11	6.32	12.65	116	7.269	1.000	0	5	1106	3216
79	3	881	l	704	3.92	6.00	10.00	37	13.285	1.022	0	7	1253	3216
79	3	918	o	411	4.02	6.32	11.31	33	82.200	1.173	0	14	1290	3216
79	3	951	v	327	4.33	8.00	12.00	25	1.000	1.000	0	3	1323	3216
79	3	976	e	1219	5.55	10.00	14.14	49	3.777	1.639	1	20	1348	3216
79	3	1056	—	558	3.90	6.00	10.00	35	1.000	1.000	0	1	1428	3216
79	3	1569	b	903	5.66	10.00	12.81	40	1.159	1.102	0	2	1941	3216
79	3	1609	i	902	5.61	10.00	14.00	41	2.307	1.682	1	12	1981	3216
79	3	1650	t	947	6.20	10.20	16.00	45	1.997	1.437	1	14	2022	3216
79	3	1695	c	871	5.74	10.00	14.00	40	1.935	1.694	1	7	2067	3216
79	3	1735	o	351	3.98	6.32	10.00	27	70.200	1.173	0	14	2107	3216
79	3	1762	i	336	4.38	8.00	12.00	25	0.859	1.346	1	12	2134	3216
79	3	1787	n	903	3.58	6.00	8.49	45	2.005	1.001	0	12	2159	3216
79	3	1863	i	881	5.76	10.00	14.00	41	2.253	1.682	1	12	2235	3216
79	3	1904	s	655	4.02	6.32	11.66	43	1.244	0.934	0	7	2276	3216
79	3	2348	m	121	3.68	6.00	7.21	11	0.515	0.949	0	3	2720	3216
79	3	2359	o	405	4.23	6.00	10.00	15	81.000	1.113	0	14	2731	3216
79	3	2374	r	61	3.66	6.00	6.00	12	0.641	1.023	0	7	2746	3216
79	3	2386	e	1195	5.75	10.00	13.42	43	3.703	1.639	1	20	2758	3216
79	3	2460	e	583	4.64	8.00	12.65	28	1.806	1.311	1	20	2832	3216
79	3	2488	f	209	3.61	6.00	8.49	19	0.839	0.949	0	5	2860	3216
79	3	2507	f	692	4.52	8.00	10.00	41	2.779	1.265	1	5	2879	3216
79	3	2548	i	316	3.79	6.00	8.00	27	0.808	1.009	0	12	2920	3216
79	3	2575	c	374	3.67	6.00	8.49	27	0.831	1.016	0	7	2947	3216
79	3	2602	i	359	4.06	6.32	8.94	24	0.918	1.064	0	12	2974	3216
79	3	2626	e	198	4.16	7.21	10.00	22	0.614	1.182	0	20	2998	3216
79	3	2648	n	737	4.25	7.21	10.77	39	1.636	1.203	1	12	3020	3216
79	3	2687	t	364	7.77	14.99	20.00	30	0.768	2.112	1	14	3059	3216
79	4	772	t	1813	4.69	8.85	16.12	119	3.824	1.247	1	14	1144	3327
79	4	891	o	1459	5.32	10.00	16.00	90	291.800	1.855	1	14	1263	3327
79	4	1011	t	982	5.48	10.00	12.81	36	2.071	1.409	1	14	1383	3327
79	4	1053	a	225	4.06	8.00	10.00	19	1.281	1.456	1	10	1425	3327
79	4	1072	n	367	4.60	8.00	10.00	26	0.815	1.335	1	12	1444	3327
79	4	1098	s	570	3.94	7.21	10.00	39	1.083	1.065	0	7	1470	3327
79	4	1143	c	518	5.76	10.00	14.00	23	1.150	1.694	1	7	1515	3327
79	4	1166	t	469	5.47	10.00	14.00	21	0.989	1.409	1	14	1538	3327
79	4	1218	a	1765	5.32	8.49	12.65	81	10.053	1.545	1	10	1590	3327
79	4	1299	n	1205	5.22	8.49	12.65	58	2.676	1.415	1	12	1671	3327
79	4	1357	d	986	6.17	10.20	16.49	40	1.321	1.259	1	2	1729	3327
79	4	1428	s	951	5.44	10.00	12.65	37	1.807	1.477	1	7	1800	3327
79	4	1465	t	1098	5.36	8.94	13.42	51	2.316	1.260	1	14	1837	3327
79	4	1516	o	743	5.35	8.94	12.81	38	148.600	1.659	1	14	1888	3327
79	4	1554	r	779	5.34	8.49	15.62	37	8.185	1.447	1	7	1926	3327
79	4	1591	e	321	7.33	14.00	18.87	29	0.995	2.295	1	20	1963	3327
79	4	1646	w	351	3.74	6.00	8.49	18	0.778	1.000	0	3	2018	3327
79	4	1664	e	287	3.32	5.66	8.00	26	0.889	0.927	0	20	2036	3327
79	4	1690	a	518	3.44	5.66	7.21	38	2.950	1.030	0	10	2062	3327
79	4	1728	l	927	4.99	8.25	12.81	40	17.494	1.405	1	7	2100	3327
79	4	1768	t	949	5.07	8.25	12.81	46	2.001	1.162	0	14	2140	3327
79	4	1814	h	587	3.92	6.32	10.77	38	1.191	1.000	0	5	2186	3327
79	4	1878	i	397	3.61	6.00	10.00	31	1.015	1.009	0	12	2250	3327
79	4	1909	n	443	3.54	5.66	7.21	34	0.984	0.944	0	12	2281	3327
79	4	1971	t	1102	4.51	8.00	12.65	57	2.324	1.127	0	14	2343	3327
79	4	2028	h	875	3.97	7.21	10.77	63	1.775	1.140	0	5	2400	3327
79	4	2091	a	424	3.80	6.00	8.49	37	2.415	1.092	0	10	2463	3327
79	4	2128	n	468	3.54	6.32	8.49	37	1.039	1.055	0	12	2500	3327
79	5	880	o	148	4.26	6.59	8.00	22	29.600	1.223	0	14	1252	3431
79	5	902	r	191	4.98	8.00	10.00	23	2.007	1.364	1	7	1274	3431
79	5	952	g	394	3.52	5.66	8.49	32	0.654	0.794	0	4	1324	3431
79	5	984	o	308	3.36	5.66	8.00	25	61.600	1.049	0	14	1356	3431
79	5	1009	l	217	3.31	5.66	8.00	19	4.095	0.964	0	7	1381	3431
79	5	1028	d	507	3.68	6.00	10.00	34	0.679	0.741	0	2	1400	3431
79	5	1310	o	251	3.57	5.66	7.21	15	50.200	1.049	0	14	1682	3431
79	5	1325	v	290	3.51	6.00	8.00	22	0.887	0.750	0	3	1697	3431
79	5	1347	e	264	3.66	6.00	8.94	24	0.818	0.984	0	20	1719	3431
79	5	1371	r	236	3.76	6.16	10.00	17	2.480	1.051	0	7	1743	3431
79	5	1388	a	191	3.29	4.47	6.32	20	1.088	0.814	0	10	1760	3431
79	5	1408	l	276	3.52	6.00	8.49	14	5.208	1.022	0	7	1780	3431
79	5	1422	l	36	3.38	5.83	6.32	6	0.679	0.993	0	7	1794	3431
79	5	1454	e	920	3.61	5.66	10.00	68	2.851	0.927	0	20	1826	3431
79	5	1522	n	546	3.81	6.00	8.49	37	1.212	1.001	0	12	1894	3431
79	5	1559	e	394	3.57	5.66	10.00	38	1.221	0.927	0	20	1931	3431
79	5	1597	r	520	3.41	5.66	8.00	38	5.464	0.965	0	7	1969	3431
79	5	1635	g	554	3.87	6.00	10.00	37	0.920	0.842	0	4	2007	3431
79	5	1672	y	585	3.89	6.32	10.77	41	1.196	1.000	0	3	2044	3431
79	5	2212	e	1271	4.71	8.00	10.77	78	3.938	1.311	1	20	2584	3431
