address	scripthash_hex	balance_sats	balance_btc
1BYUp7GAeGLVLLgAdRX8gy8hFkRjNdJros	00149d8a24e65b35c6cbd274d7c46e72ecc83c6cb2503dce5c024ab5e8c29678	6000000547	60.00000547
14D5N7Zm5yYSBS1PR73bNygRDiDecstyz2	00433aceffe6d1315845f7b87a792edfcdcba7d9c6b6645d7d2d1be2090dcb40	5889991642	58.89991642
15LKxiXXuJn9fJjJHdKxxwBRP8674nEDxv	004e283103a7b73a555b3b06d71ade5e51016a8c2e5d2f99710c8a5aa1accffe	6000000547	60.00000547
1LPv35qg5Vmc1vLzLvP6vCPy9eVgF5hngC	01187d68969a2209d0deaf4d0a929c3ae0fbea806716c122a32d6e36952786d7	6014340547	60.14340547
17yqAuLPA2XP925hWyPxMkspPcBY4S7Kto	012d7b8e85c9e851879535af36afa5dd4fc2fe72feed76a96bc90cbbbc11681e	6000000547	60.00000547
1KYwkmhoKqdgLDNBcwrYPKGbcjkX9H7HDT	01ca842303913fbab8df58d8f55971f99224bb8889b64fcf3de3c8a6379e48f8	5871717013	58.71717013
1F8FBjmupx2P8moTtW1oHgKSp7mXpL9Z4N	0237c980daa80ca6275f3e0e827d2f3cfddaf80abb742f6c6325ca6c6b6ab619	6000001641	60.00001641
1M4STZ9QpyR286sjZALUfsAzAX715jk5zT	0339f653bdcfea9eb678972f99a8b046a00861a365afa3feaff073b8936a00d9	6110004275	61.10004275
3KdmrZBbeDTHGXbRxN51VPcGQNpfw1jvYN	0512768c7c13f836e36eeecc7d71a60feb0b1b6c0826341df246a08e07ff8d60	6000001641	60.00001641
3NfaGRW1SatVZakVLiJE52hnr4CcRUigtc	0540fc4aa706081586e84389551cef15f4d3e96bfa97f2f45bb16458ffc7930d	5980001434	59.80001434
1HT8BgewW6HbkmG8SqPZNhahJsxxrzhdF8	07236220e7f6ef3463b703718da0b70c07c695fbe810c57629c8668df6f75f72	5899603764	58.99603764
1GJK3QfQ6LYrYinP1cT4s5MGqjp7TqZjx	076d23736ae834c5a1b8bd39022bfd72d1a781c0c193467e3d43ca03248f466f	6041000547	60.41000547
1Dur8bXEDyuKw51gC4zbe1g3fpcXniuRRR	085c8fcbd39abc31721659829be48255317ee7c13e3fd8ffd95bb31a7f84292f	5983139843	59.83139843
1H8i1cFXPPx2ZH2ZQD5aYiBx7L4TF4rLHe	08d730dbe19604672ee26e37e90a33747a97eaccd0de9aa72516f1c9ab460b17	6129002736	61.29002736
1HUbtDAfbWqMsjoj9NXFKAPgjru9oq4W8N	0a9e932c1681627af8af09e9a3ae9119254ccb356460e2892aa43b3658c27045	6022660920	60.22660920
18XFtUv9TrcwvBL32JtxHz5tSJ6zc45v3G	0ad456075ae4dd67ba34b87149945f1f40ed55a6e2ef7183b52141979b0bb0b3	6005308955	60.05308955
1DdTd7ENNUKjRqm2gNxhCDu4V7wSvrLpfR	0e5cc003968edde9bc36b6b6071749926b39ba791004d817abfb1064d304bfb7	6043801472	60.43801472
1AWdwMobncb3pcyvNY9Y2m8P3FnWaPm48E	0f75eb8635ad53fa41005e280ac0554fb0f3c7e43034a6259967be84fefbe04d	6000000000	60.00000000
14J11nkxVydr2NrVDvHrt2LYtt8wnsR6KY	129a091485033a6a9df9b5a651838ff5997decb9085b621a40153df053a68cf9	6000000547	60.00000547
1GwQXYYhUxr5xZtFoeRBbgkwEhkxjGorw7	12b4a45c6791fb74b63942b3db8d900bf7a483eed2321b2c26b1f6bfb97653cf	6113002894	61.13002894
bc1qzheu4vhuzt803f7x0yeg0g7v236l97r6ghftpc	134a423d63fb86270a71415287b2fdaee92d821f077c2d887d4a2cb124856404	5895782224	58.95782224
