bc1pmd7qtkz3hmsw7zcvd2l8dqf4eml7u06l7ark09882ucf8slf9j3s4qmn5f,20.0
bc1p4asmmvf460vrrmx5ynpxwz3ss4utnnqfpwuh8cyswg52sn32tznqe27q5t,20.0
bc1pmch3fv0dntp6gup83j5qulntnnf98esmuspntejkdux0w9s8ekzsrcjlmu,20.0
bc1pup3ty8464srslduatut2skv6q649mker3wk5qscm3ypv6pd50e9qz7smez,20.0
bc1pkljxwtnj4kxy82hukf3pcsyrcvk5hpkkuap7w5x9hkycujvytxqq35mdcu,20.0
bc1p6074h5hgd7h05vqtkk7ldfqvkauk6q479nmxp5x2enc7mz0tudhs0kdh9q,20.0
bc1pk8a4z64f6dtk5aj7haqg0w66xlxffpjqgm4509k482rlkh8yvq4sh2l6l0,20.0
bc1pkd3syw0mtd6u0635rwu7kzw0kp69kvx5axnyeapnua93cea9pa2szg7jyr,20.0
bc1pqw4z8ykczn3ccsh9mwrdwv25kthakm49zlhq6rt58uplqfsqthgseqcyed,20.0
bc1pxgjn4azxtx4d22xcg09sak9m8l87f0mvs7c8q8xrc4u7cl52qzpsx8gdyt,20.0
bc1pj0cf2c8ynygzzt7twenwdhmc76vdvepvhfjf6xcjkdlxjauzzpps8ed829,20.0
bc1pd38zm799fqqs7htq0cr3chvcj7peg8300kus9dscans8kecxt9uqlgdhlh,20.0
bc1pwl779a4wc524tq79vvy74rpuv06c95hep7wwjzqrpqav8lau08ssrass4v,20.0
bc1p6ha96wxjvvrckc2hu9pvaythuvpa3hcaa6vd5k8sespvw0q34dkq0vd4ax,20.0
bc1p9ctcg322r2vjp4ufxka5hluexme2zxu52nphudzm4dtr898pg7ksjk49mt,20.0
bc1pamxus7wswc8ce04uzy6s4gxj4av8hpevv5zm5a6kal3kvvvg7jcqxp76xq,20.0
bc1p3kas5m0wzjlmh43szkpgckrv5xwrltcvn3qruy2s3syr0836pkksv5n9p5,20.0
bc1pq60vv0zjc5ut5gh4w30t4xcx89ku84nrl47vmmpw4al08kc5fpjqqh3dxv,20.0
