address	scripthash_hex	balance_sats	balance_btc
1F6DHMfdrXdnqLnxuZXn1Na75T5VzTAsq3	00b64524842f3b6709ef3347a4e1f9554bb3d9edebdf1386554defcde473c701	4005001641	40.05001641
15Fx34MisMrqThpkmFdC6U2uGW6SRKVwh4	0106f9225541f071236bfa48c34567d9f45b1c00bdf356375edb6548e02e887e	3900003989	39.00003989
1PP6aNxcfDtjupskRtjFewUjjrsu7bcKdU	01099ca48404643910f8e92d758824dd02fa8ba3d7be3b7c9b85d1261bd377e8	4000000547	40.00000547
1PRwuwfTNoY2GutfHdCKVwNsoCcorm7YqC	01acd5279607e2868a7bef2285976b43d87e0a9a67492270fb0a41fa76135eb7	4005002189	40.05002189
3KreXXpxBDVBrzZGGVK58D5XjjgpG9p1GY	01be09601d476771c1f0cff30575a0120745845dea4783502858642e5348e63f	3999993115	39.99993115
13KBvufCxKaTuwsY5HLgE9cG1pigzeZ1Wk	01d83af15b7fddc7b58d35092731333632f611ee4364ca725f656e47bd921ea3	4000001094	40.00001094
15rZ8zpf7eBAsANKQxkfzyzbCD3DQ8PTcD	031e404efc94995260271dd877e1f0600fb6e179278daeb62e565ce2f10b8716	3990061106	39.90061106
1KBVW6Ww6wqznddXNEiVGujs8yoGVdpvV5	03850e5ba02bd82c9f1ffa173c3080b400ff53b859c33c4bec51e09561f432f8	4000000547	40.00000547
bc1qzy2hg9aup0vnt3cnetlpc8h7eytqveqxk36rjfsd8dy8kfyg29yqg29swh	0394893282daaae67516ade23ec1ae89dc1e07af07b59d5106a81847b1eb48cf	3983236936	39.83236936
1HmXpbdQ85UDtXBBcmYL2tLXEwQ4QHwE9Q	03982cbb1e1f84b0fb830a8c6c194e2dd657898f9b452011fa7bdfd9be87f22b	4099991094	40.99991094
1455rpNCQH9HifyH9RzEEJbv8TYwYVAwR9	0464123088bf9e33ca16b8886061cc185db5faf965d38f70e60711327a25f6b5	3997200547	39.97200547
bc1qftatm2yjzejlwdsxguv5wj4d6sdmlnlha6a22k	055c3bd42a02f68f0ccb82de5a536c87c830b3581e9224b83ee848b79505f042	4000000334	40.00000334
3Ap3bnV8SKdr72zuQSHYKdwehvdNf1BZq1	05c02ad62da63dabaaeb6f586044e61f025de61cd8e78935d1b0c11764d48efd	3999822122	39.99822122
3BzRaGL5VcuCHd6KEMo9jTW1yMouyA8AN6	067ff0c702e0b6f44b5d142298a99e15401772b16c0c6c572027015096c5b7fe	4019598471	40.19598471
38hd6jLvCpizHv3t18mnjwCku8PeyjNLSp	071c54089fe44c90a9b27c076636e36166674eaaa8808d41337fb420d7eb6022	4030439787	40.30439787
1B1J7RXLJ4VZNHAjWFf9TYc5F1y8X1GstY	0724dc4d34ad6c8c734b937af74882e64ee7121d4aeafb2a06fe7b4d4ffe7e92	4001835172	40.01835172
